cifar100 loaded
There are 40000 training samples and 10000 validation samples
There are 10000 test samples.
This is records for stage 2
Train with the cl selected dataset.
load parameters
------------------ Start to select subsets ------------------
Selected 50 percent training data.
Use multiple GPU to train the network.
Use 100 epochs
Epoch: 0
 [>................................................................] 1/79   Step: 1m1s | Tot: 0ms | Loss: 0.635 | Acc: 82.812% (212/256)              
 [==============================>..................................] 20/40   Step: 417ms | Tot: 8s320ms | Loss: 1.331 | Acc: 71.309% (3651/5120)              
 [================================>................................] 21/40   Step: 416ms | Tot: 8s736ms | Loss: 1.331 | Acc: 71.298% (3833/5376)              
 [==================================>..............................] 22/40   Step: 416ms | Tot: 9s153ms | Loss: 1.328 | Acc: 71.342% (4018/5632)              
 [===================================>.............................] 23/40   Step: 414ms | Tot: 9s568ms | Loss: 1.340 | Acc: 71.196% (4192/5888)              
 [=====================================>...........................] 24/40   Step: 516ms | Tot: 10s84ms | Loss: 1.348 | Acc: 71.045% (4365/6144)              
 [=======================================>.........................] 25/40   Step: 416ms | Tot: 10s501ms | Loss: 1.348 | Acc: 70.938% (4540/6400)              
 [========================================>........................] 26/40   Step: 419ms | Tot: 10s920ms | Loss: 1.343 | Acc: 70.913% (4720/6656)              
 [==========================================>......................] 27/40   Step: 422ms | Tot: 11s343ms | Loss: 1.346 | Acc: 70.732% (4889/6912)              
 [===========================================>.....................] 28/40   Step: 420ms | Tot: 11s764ms | Loss: 1.336 | Acc: 70.912% (5083/7168)              
 [=============================================>...................] 29/40   Step: 420ms | Tot: 12s184ms | Loss: 1.332 | Acc: 70.959% (5268/7424)              
 [===============================================>.................] 30/40   Step: 526ms | Tot: 12s711ms | Loss: 1.326 | Acc: 71.146% (5464/7680)              
 [================================================>................] 31/40   Step: 416ms | Tot: 13s127ms | Loss: 1.328 | Acc: 71.094% (5642/7936)              
 [==================================================>..............] 32/40   Step: 415ms | Tot: 13s543ms | Loss: 1.326 | Acc: 71.130% (5827/8192)              
 [====================================================>............] 33/40   Step: 416ms | Tot: 13s959ms | Loss: 1.325 | Acc: 71.046% (6002/8448)              
 [=====================================================>...........] 34/40   Step: 416ms | Tot: 14s376ms | Loss: 1.333 | Acc: 70.898% (6171/8704)              
 [=======================================================>.........] 35/40   Step: 415ms | Tot: 14s792ms | Loss: 1.335 | Acc: 70.926% (6355/8960)              
 [========================================================>........] 36/40   Step: 476ms | Tot: 15s269ms | Loss: 1.329 | Acc: 70.996% (6543/9216)              
 [==========================================================>......] 37/40   Step: 374ms | Tot: 15s643ms | Loss: 1.333 | Acc: 70.946% (6720/9472)              
 [============================================================>....] 38/40   Step: 372ms | Tot: 16s16ms | Loss: 1.328 | Acc: 71.083% (6915/9728)              
 [=============================================================>...] 39/40   Step: 371ms | Tot: 16s388ms | Loss: 1.331 | Acc: 71.074% (7096/9984)              
 [===============================================================>.] 40/40   Step: 372ms | Tot: 16s760ms | Loss: 1.331 | Acc: 71.080% (7108/10000)

Epoch: 92
 [>................................................................] 1/79   Step: 2s80ms | Tot: 0ms | Loss: 0.020 | Acc: 100.000% (256/256)              
 [>................................................................] 2/79   Step: 969ms | Tot: 969ms | Loss: 0.017 | Acc: 100.000% (512/512)              
 [=>...............................................................] 3/79   Step: 965ms | Tot: 1s935ms | Loss: 0.014 | Acc: 100.000% (768/768)              
 [==>..............................................................] 4/79   Step: 967ms | Tot: 2s903ms | Loss: 0.014 | Acc: 100.000% (1024/1024)              
 [===>.............................................................] 5/79   Step: 986ms | Tot: 3s889ms | Loss: 0.013 | Acc: 100.000% (1280/1280)              
 [====>............................................................] 6/79   Step: 1s68ms | Tot: 4s957ms | Loss: 0.014 | Acc: 100.000% (1536/1536)              
 [====>............................................................] 7/79   Step: 964ms | Tot: 5s922ms | Loss: 0.017 | Acc: 99.888% (1790/1792)              
 [=====>...........................................................] 8/79   Step: 965ms | Tot: 6s887ms | Loss: 0.016 | Acc: 99.854% (2045/2048)              
 [======>..........................................................] 9/79   Step: 971ms | Tot: 7s858ms | Loss: 0.016 | Acc: 99.870% (2301/2304)              
 [=======>.........................................................] 10/79   Step: 963ms | Tot: 8s822ms | Loss: 0.016 | Acc: 99.883% (2557/2560)              
 [========>........................................................] 11/79   Step: 1s66ms | Tot: 9s889ms | Loss: 0.016 | Acc: 99.858% (2812/2816)              
 [=========>.......................................................] 12/79   Step: 963ms | Tot: 10s852ms | Loss: 0.016 | Acc: 99.837% (3067/3072)              
 [=========>.......................................................] 13/79   Step: 963ms | Tot: 11s815ms | Loss: 0.016 | Acc: 99.850% (3323/3328)              
 [==========>......................................................] 14/79   Step: 963ms | Tot: 12s779ms | Loss: 0.016 | Acc: 99.833% (3578/3584)              
 [===========>.....................................................] 15/79   Step: 1s82ms | Tot: 13s861ms | Loss: 0.015 | Acc: 99.844% (3834/3840)              
 [============>....................................................] 16/79   Step: 963ms | Tot: 14s825ms | Loss: 0.016 | Acc: 99.854% (4090/4096)              
 [=============>...................................................] 17/79   Step: 966ms | Tot: 15s792ms | Loss: 0.015 | Acc: 99.862% (4346/4352)              
 [=============>...................................................] 18/79   Step: 963ms | Tot: 16s756ms | Loss: 0.015 | Acc: 99.870% (4602/4608)              
 [==============>..................................................] 19/79   Step: 964ms | Tot: 17s720ms | Loss: 0.016 | Acc: 99.877% (4858/4864)              
 [===============>.................................................] 20/79   Step: 1s62ms | Tot: 18s783ms | Loss: 0.016 | Acc: 99.883% (5114/5120)              
 [================>................................................] 21/79   Step: 964ms | Tot: 19s748ms | Loss: 0.016 | Acc: 99.870% (5369/5376)              
 [=================>...............................................] 22/79   Step: 964ms | Tot: 20s712ms | Loss: 0.016 | Acc: 99.858% (5624/5632)              
 [==================>..............................................] 23/79   Step: 963ms | Tot: 21s676ms | Loss: 0.016 | Acc: 99.847% (5879/5888)              
 [==================>..............................................] 24/79   Step: 1s68ms | Tot: 22s745ms | Loss: 0.016 | Acc: 99.854% (6135/6144)              
 [===================>.............................................] 25/79   Step: 975ms | Tot: 23s720ms | Loss: 0.016 | Acc: 99.859% (6391/6400)              
 [====================>............................................] 26/79   Step: 965ms | Tot: 24s685ms | Loss: 0.016 | Acc: 99.850% (6646/6656)              
 [=====================>...........................................] 27/79   Step: 968ms | Tot: 25s654ms | Loss: 0.016 | Acc: 99.855% (6902/6912)              
 [======================>..........................................] 28/79   Step: 964ms | Tot: 26s619ms | Loss: 0.016 | Acc: 99.860% (7158/7168)              
 [=======================>.........................................] 29/79   Step: 1s70ms | Tot: 27s689ms | Loss: 0.016 | Acc: 99.865% (7414/7424)              
 [=======================>.........................................] 30/79   Step: 970ms | Tot: 28s660ms | Loss: 0.016 | Acc: 99.870% (7670/7680)              
 [========================>........................................] 31/79   Step: 966ms | Tot: 29s627ms | Loss: 0.016 | Acc: 99.874% (7926/7936)              
 [=========================>.......................................] 32/79   Step: 964ms | Tot: 30s591ms | Loss: 0.016 | Acc: 99.854% (8180/8192)              
 [==========================>......................................] 33/79   Step: 1s71ms | Tot: 31s662ms | Loss: 0.016 | Acc: 99.846% (8435/8448)              
 [===========================>.....................................] 34/79   Step: 963ms | Tot: 32s626ms | Loss: 0.016 | Acc: 99.851% (8691/8704)              
 [===========================>.....................................] 35/79   Step: 985ms | Tot: 33s611ms | Loss: 0.016 | Acc: 99.855% (8947/8960)              
 [============================>....................................] 36/79   Step: 964ms | Tot: 34s576ms | Loss: 0.016 | Acc: 99.859% (9203/9216)              
 [=============================>...................................] 37/79   Step: 966ms | Tot: 35s542ms | Loss: 0.016 | Acc: 99.863% (9459/9472)              
 [==============================>..................................] 38/79   Step: 1s68ms | Tot: 36s611ms | Loss: 0.016 | Acc: 99.866% (9715/9728)              
 [===============================>.................................] 39/79   Step: 972ms | Tot: 37s584ms | Loss: 0.016 | Acc: 99.860% (9970/9984)              
 [================================>................................] 40/79   Step: 966ms | Tot: 38s551ms | Loss: 0.016 | Acc: 99.863% (10226/10240)              
 [================================>................................] 41/79   Step: 963ms | Tot: 39s514ms | Loss: 0.016 | Acc: 99.867% (10482/10496)              
 [=================================>...............................] 42/79   Step: 1s67ms | Tot: 40s582ms | Loss: 0.016 | Acc: 99.870% (10738/10752)              
 [==================================>..............................] 43/79   Step: 967ms | Tot: 41s549ms | Loss: 0.016 | Acc: 99.873% (10994/11008)              
 [===================================>.............................] 44/79   Step: 963ms | Tot: 42s512ms | Loss: 0.016 | Acc: 99.867% (11249/11264)              
 [====================================>............................] 45/79   Step: 966ms | Tot: 43s479ms | Loss: 0.016 | Acc: 99.870% (11505/11520)              
 [=====================================>...........................] 46/79   Step: 978ms | Tot: 44s457ms | Loss: 0.016 | Acc: 99.873% (11761/11776)              
 [=====================================>...........................] 47/79   Step: 1s65ms | Tot: 45s523ms | Loss: 0.016 | Acc: 99.875% (12017/12032)              
 [======================================>..........................] 48/79   Step: 967ms | Tot: 46s490ms | Loss: 0.016 | Acc: 99.878% (12273/12288)              
 [=======================================>.........................] 49/79   Step: 964ms | Tot: 47s455ms | Loss: 0.016 | Acc: 99.872% (12528/12544)              
 [========================================>........................] 50/79   Step: 970ms | Tot: 48s426ms | Loss: 0.016 | Acc: 99.875% (12784/12800)              
 [=========================================>.......................] 51/79   Step: 966ms | Tot: 49s392ms | Loss: 0.015 | Acc: 99.877% (13040/13056)              
 [=========================================>.......................] 52/79   Step: 1s68ms | Tot: 50s461ms | Loss: 0.015 | Acc: 99.880% (13296/13312)              
 [==========================================>......................] 53/79   Step: 972ms | Tot: 51s433ms | Loss: 0.015 | Acc: 99.875% (13551/13568)              
 [===========================================>.....................] 54/79   Step: 965ms | Tot: 52s399ms | Loss: 0.015 | Acc: 99.870% (13806/13824)              
 [============================================>....................] 55/79   Step: 965ms | Tot: 53s364ms | Loss: 0.015 | Acc: 99.872% (14062/14080)              
 [=============================================>...................] 56/79   Step: 980ms | Tot: 54s345ms | Loss: 0.015 | Acc: 99.867% (14317/14336)              
 [==============================================>..................] 57/79   Step: 1s67ms | Tot: 55s412ms | Loss: 0.015 | Acc: 99.870% (14573/14592)              
 [==============================================>..................] 58/79   Step: 965ms | Tot: 56s377ms | Loss: 0.015 | Acc: 99.872% (14829/14848)              
 [===============================================>.................] 59/79   Step: 966ms | Tot: 57s344ms | Loss: 0.015 | Acc: 99.868% (15084/15104)              
 [================================================>................] 60/79   Step: 966ms | Tot: 58s310ms | Loss: 0.015 | Acc: 99.870% (15340/15360)              
 [=================================================>...............] 61/79   Step: 1s66ms | Tot: 59s377ms | Loss: 0.015 | Acc: 99.872% (15596/15616)              
 [==================================================>..............] 62/79   Step: 964ms | Tot: 1m341ms | Loss: 0.015 | Acc: 99.874% (15852/15872)              
 [===================================================>.............] 63/79   Step: 962ms | Tot: 1m1s | Loss: 0.015 | Acc: 99.876% (16108/16128)              
 [===================================================>.............] 64/79   Step: 964ms | Tot: 1m2s | Loss: 0.015 | Acc: 99.872% (16363/16384)              
 [====================================================>............] 65/79   Step: 966ms | Tot: 1m3s | Loss: 0.015 | Acc: 99.874% (16619/16640)              
 [=====================================================>...........] 66/79   Step: 1s79ms | Tot: 1m4s | Loss: 0.015 | Acc: 99.870% (16874/16896)              
 [======================================================>..........] 67/79   Step: 967ms | Tot: 1m5s | Loss: 0.015 | Acc: 99.872% (17130/17152)              
 [=======================================================>.........] 68/79   Step: 965ms | Tot: 1m6s | Loss: 0.015 | Acc: 99.874% (17386/17408)              
 [=======================================================>.........] 69/79   Step: 968ms | Tot: 1m7s | Loss: 0.015 | Acc: 99.875% (17642/17664)              
 [========================================================>........] 70/79   Step: 1s71ms | Tot: 1m8s | Loss: 0.015 | Acc: 99.877% (17898/17920)              
 [=========================================================>.......] 71/79   Step: 968ms | Tot: 1m9s | Loss: 0.015 | Acc: 99.879% (18154/18176)              
 [==========================================================>......] 72/79   Step: 969ms | Tot: 1m10s | Loss: 0.015 | Acc: 99.881% (18410/18432)              
 [===========================================================>.....] 73/79   Step: 964ms | Tot: 1m11s | Loss: 0.015 | Acc: 99.877% (18665/18688)              
 [============================================================>....] 74/79   Step: 962ms | Tot: 1m12s | Loss: 0.015 | Acc: 99.879% (18921/18944)              
 [============================================================>....] 75/79   Step: 968ms | Tot: 1m13s | Loss: 0.015 | Acc: 99.880% (19177/19200)              
 [=============================================================>...] 76/79   Step: 868ms | Tot: 1m13s | Loss: 0.015 | Acc: 99.882% (19433/19456)              
 [==============================================================>..] 77/79   Step: 852ms | Tot: 1m14s | Loss: 0.015 | Acc: 99.878% (19688/19712)              
 [===============================================================>.] 78/79   Step: 853ms | Tot: 1m15s | Loss: 0.015 | Acc: 99.875% (19943/19968)              
 [================================================================>] 79/79   Step: 970ms | Tot: 1m16s | Loss: 0.015 | Acc: 99.875% (19975/20000)
 [>................................................................] 1/40   Step: 1s108ms | Tot: 0ms | Loss: 1.239 | Acc: 70.312% (180/256)              
 [=>...............................................................] 2/40   Step: 419ms | Tot: 419ms | Loss: 1.199 | Acc: 72.266% (370/512)              
 [===>.............................................................] 3/40   Step: 418ms | Tot: 838ms | Loss: 1.267 | Acc: 70.703% (543/768)              
 [====>............................................................] 4/40   Step: 417ms | Tot: 1s255ms | Loss: 1.278 | Acc: 70.898% (726/1024)              
 [======>..........................................................] 5/40   Step: 418ms | Tot: 1s674ms | Loss: 1.357 | Acc: 70.234% (899/1280)              
 [========>........................................................] 6/40   Step: 577ms | Tot: 2s252ms | Loss: 1.345 | Acc: 70.833% (1088/1536)              
 [=========>.......................................................] 7/40   Step: 416ms | Tot: 2s668ms | Loss: 1.399 | Acc: 70.312% (1260/1792)              
 [===========>.....................................................] 8/40   Step: 416ms | Tot: 3s85ms | Loss: 1.387 | Acc: 70.361% (1441/2048)              
 [=============>...................................................] 9/40   Step: 416ms | Tot: 3s502ms | Loss: 1.376 | Acc: 70.573% (1626/2304)              
 [==============>..................................................] 10/40   Step: 417ms | Tot: 3s920ms | Loss: 1.373 | Acc: 70.664% (1809/2560)              
 [================>................................................] 11/40   Step: 519ms | Tot: 4s439ms | Loss: 1.366 | Acc: 70.881% (1996/2816)              
 [=================>...............................................] 12/40   Step: 417ms | Tot: 4s856ms | Loss: 1.369 | Acc: 70.833% (2176/3072)              
 [===================>.............................................] 13/40   Step: 417ms | Tot: 5s273ms | Loss: 1.366 | Acc: 71.034% (2364/3328)              
 [=====================>...........................................] 14/40   Step: 417ms | Tot: 5s691ms | Loss: 1.365 | Acc: 70.898% (2541/3584)              
 [======================>..........................................] 15/40   Step: 428ms | Tot: 6s119ms | Loss: 1.350 | Acc: 71.172% (2733/3840)              
 [========================>........................................] 16/40   Step: 428ms | Tot: 6s548ms | Loss: 1.354 | Acc: 71.094% (2912/4096)              
 [==========================>......................................] 17/40   Step: 517ms | Tot: 7s65ms | Loss: 1.360 | Acc: 71.048% (3092/4352)              
 [===========================>.....................................] 18/40   Step: 418ms | Tot: 7s483ms | Loss: 1.364 | Acc: 70.942% (3269/4608)              
 [=============================>...................................] 19/40   Step: 416ms | Tot: 7s900ms | Loss: 1.360 | Acc: 70.765% (3442/4864)              
 [==============================>..................................] 20/40   Step: 416ms | Tot: 8s316ms | Loss: 1.349 | Acc: 70.859% (3628/5120)              
 [================================>................................] 21/40   Step: 417ms | Tot: 8s734ms | Loss: 1.347 | Acc: 70.889% (3811/5376)              
 [==================================>..............................] 22/40   Step: 518ms | Tot: 9s253ms | Loss: 1.342 | Acc: 71.005% (3999/5632)              
 [===================================>.............................] 23/40   Step: 415ms | Tot: 9s669ms | Loss: 1.355 | Acc: 70.873% (4173/5888)              
 [=====================================>...........................] 24/40   Step: 415ms | Tot: 10s85ms | Loss: 1.365 | Acc: 70.703% (4344/6144)              
 [=======================================>.........................] 25/40   Step: 415ms | Tot: 10s500ms | Loss: 1.366 | Acc: 70.656% (4522/6400)              
 [========================================>........................] 26/40   Step: 415ms | Tot: 10s916ms | Loss: 1.364 | Acc: 70.628% (4701/6656)              
 [==========================================>......................] 27/40   Step: 416ms | Tot: 11s333ms | Loss: 1.367 | Acc: 70.616% (4881/6912)              
 [===========================================>.....................] 28/40   Step: 515ms | Tot: 11s848ms | Loss: 1.358 | Acc: 70.633% (5063/7168)              
 [=============================================>...................] 29/40   Step: 416ms | Tot: 12s264ms | Loss: 1.354 | Acc: 70.744% (5252/7424)              
 [===============================================>.................] 30/40   Step: 414ms | Tot: 12s679ms | Loss: 1.349 | Acc: 70.911% (5446/7680)              
 [================================================>................] 31/40   Step: 415ms | Tot: 13s95ms | Loss: 1.354 | Acc: 70.842% (5622/7936)              
 [==================================================>..............] 32/40   Step: 414ms | Tot: 13s510ms | Loss: 1.352 | Acc: 70.898% (5808/8192)              
 [====================================================>............] 33/40   Step: 521ms | Tot: 14s31ms | Loss: 1.349 | Acc: 70.869% (5987/8448)              
 [=====================================================>...........] 34/40   Step: 415ms | Tot: 14s447ms | Loss: 1.359 | Acc: 70.692% (6153/8704)              
 [=======================================================>.........] 35/40   Step: 417ms | Tot: 14s864ms | Loss: 1.361 | Acc: 70.714% (6336/8960)              
 [========================================================>........] 36/40   Step: 377ms | Tot: 15s242ms | Loss: 1.355 | Acc: 70.812% (6526/9216)              
 [==========================================================>......] 37/40   Step: 373ms | Tot: 15s615ms | Loss: 1.359 | Acc: 70.766% (6703/9472)              
 [============================================================>....] 38/40   Step: 393ms | Tot: 16s9ms | Loss: 1.355 | Acc: 70.868% (6894/9728)              
 [=============================================================>...] 39/40   Step: 472ms | Tot: 16s481ms | Loss: 1.356 | Acc: 70.853% (7074/9984)              
 [===============================================================>.] 40/40   Step: 373ms | Tot: 16s854ms | Loss: 1.356 | Acc: 70.850% (7085/10000)

Epoch: 93
 [>................................................................] 1/79   Step: 1s942ms | Tot: 0ms | Loss: 0.016 | Acc: 99.609% (255/256)              
 [>................................................................] 2/79   Step: 969ms | Tot: 969ms | Loss: 0.011 | Acc: 99.805% (511/512)              
 [=>...............................................................] 3/79   Step: 972ms | Tot: 1s942ms | Loss: 0.011 | Acc: 99.870% (767/768)              
 [==>..............................................................] 4/79   Step: 1s123ms | Tot: 3s65ms | Loss: 0.012 | Acc: 99.902% (1023/1024)              
 [===>.............................................................] 5/79   Step: 970ms | Tot: 4s35ms | Loss: 0.012 | Acc: 99.844% (1278/1280)              
 [====>............................................................] 6/79   Step: 967ms | Tot: 5s2ms | Loss: 0.014 | Acc: 99.740% (1532/1536)              
 [====>............................................................] 7/79   Step: 966ms | Tot: 5s969ms | Loss: 0.014 | Acc: 99.777% (1788/1792)              
 [=====>...........................................................] 8/79   Step: 1s81ms | Tot: 7s51ms | Loss: 0.015 | Acc: 99.707% (2042/2048)              
 [======>..........................................................] 9/79   Step: 965ms | Tot: 8s17ms | Loss: 0.015 | Acc: 99.696% (2297/2304)              
 [=======>.........................................................] 10/79   Step: 966ms | Tot: 8s983ms | Loss: 0.015 | Acc: 99.727% (2553/2560)              
 [========>........................................................] 11/79   Step: 960ms | Tot: 9s943ms | Loss: 0.014 | Acc: 99.751% (2809/2816)              
 [=========>.......................................................] 12/79   Step: 965ms | Tot: 10s909ms | Loss: 0.014 | Acc: 99.772% (3065/3072)              
 [=========>.......................................................] 13/79   Step: 1s65ms | Tot: 11s975ms | Loss: 0.014 | Acc: 99.790% (3321/3328)              
 [==========>......................................................] 14/79   Step: 963ms | Tot: 12s938ms | Loss: 0.014 | Acc: 99.805% (3577/3584)              
 [===========>.....................................................] 15/79   Step: 964ms | Tot: 13s902ms | Loss: 0.014 | Acc: 99.792% (3832/3840)              
 [============>....................................................] 16/79   Step: 966ms | Tot: 14s868ms | Loss: 0.014 | Acc: 99.805% (4088/4096)              
 [=============>...................................................] 17/79   Step: 963ms | Tot: 15s832ms | Loss: 0.015 | Acc: 99.793% (4343/4352)              
 [=============>...................................................] 18/79   Step: 1s65ms | Tot: 16s897ms | Loss: 0.016 | Acc: 99.761% (4597/4608)              
 [==============>..................................................] 19/79   Step: 974ms | Tot: 17s872ms | Loss: 0.017 | Acc: 99.753% (4852/4864)              
 [===============>.................................................] 20/79   Step: 963ms | Tot: 18s835ms | Loss: 0.017 | Acc: 99.766% (5108/5120)              
 [================>................................................] 21/79   Step: 971ms | Tot: 19s807ms | Loss: 0.017 | Acc: 99.777% (5364/5376)              
 [=================>...............................................] 22/79   Step: 964ms | Tot: 20s772ms | Loss: 0.017 | Acc: 99.787% (5620/5632)              
 [==================>..............................................] 23/79   Step: 1s87ms | Tot: 21s859ms | Loss: 0.017 | Acc: 99.762% (5874/5888)              
 [==================>..............................................] 24/79   Step: 964ms | Tot: 22s824ms | Loss: 0.017 | Acc: 99.756% (6129/6144)              
 [===================>.............................................] 25/79   Step: 962ms | Tot: 23s787ms | Loss: 0.017 | Acc: 99.750% (6384/6400)              
 [====================>............................................] 26/79   Step: 962ms | Tot: 24s750ms | Loss: 0.017 | Acc: 99.760% (6640/6656)              
 [=====================>...........................................] 27/79   Step: 1s68ms | Tot: 25s818ms | Loss: 0.017 | Acc: 99.754% (6895/6912)              
 [======================>..........................................] 28/79   Step: 966ms | Tot: 26s784ms | Loss: 0.017 | Acc: 99.763% (7151/7168)              
 [=======================>.........................................] 29/79   Step: 983ms | Tot: 27s768ms | Loss: 0.017 | Acc: 99.758% (7406/7424)              
 [=======================>.........................................] 30/79   Step: 969ms | Tot: 28s737ms | Loss: 0.017 | Acc: 99.753% (7661/7680)              
 [========================>........................................] 31/79   Step: 963ms | Tot: 29s701ms | Loss: 0.017 | Acc: 99.748% (7916/7936)              
 [=========================>.......................................] 32/79   Step: 1s65ms | Tot: 30s766ms | Loss: 0.017 | Acc: 99.731% (8170/8192)              
 [==========================>......................................] 33/79   Step: 967ms | Tot: 31s733ms | Loss: 0.018 | Acc: 99.740% (8426/8448)              
 [===========================>.....................................] 34/79   Step: 966ms | Tot: 32s700ms | Loss: 0.017 | Acc: 99.747% (8682/8704)              
 [===========================>.....................................] 35/79   Step: 965ms | Tot: 33s666ms | Loss: 0.017 | Acc: 99.754% (8938/8960)              
 [============================>....................................] 36/79   Step: 1s74ms | Tot: 34s741ms | Loss: 0.017 | Acc: 99.761% (9194/9216)              
 [=============================>...................................] 37/79   Step: 967ms | Tot: 35s709ms | Loss: 0.017 | Acc: 99.768% (9450/9472)              
 [==============================>..................................] 38/79   Step: 967ms | Tot: 36s676ms | Loss: 0.017 | Acc: 99.774% (9706/9728)              
 [===============================>.................................] 39/79   Step: 980ms | Tot: 37s656ms | Loss: 0.017 | Acc: 99.780% (9962/9984)              
 [================================>................................] 40/79   Step: 970ms | Tot: 38s627ms | Loss: 0.017 | Acc: 99.785% (10218/10240)              
 [================================>................................] 41/79   Step: 1s81ms | Tot: 39s708ms | Loss: 0.017 | Acc: 99.790% (10474/10496)              
 [=================================>...............................] 42/79   Step: 965ms | Tot: 40s674ms | Loss: 0.016 | Acc: 99.795% (10730/10752)              
 [==================================>..............................] 43/79   Step: 966ms | Tot: 41s641ms | Loss: 0.017 | Acc: 99.791% (10985/11008)              
 [===================================>.............................] 44/79   Step: 962ms | Tot: 42s603ms | Loss: 0.016 | Acc: 99.796% (11241/11264)              
 [====================================>............................] 45/79   Step: 963ms | Tot: 43s566ms | Loss: 0.016 | Acc: 99.800% (11497/11520)              
 [=====================================>...........................] 46/79   Step: 1s66ms | Tot: 44s633ms | Loss: 0.016 | Acc: 99.805% (11753/11776)              
 [=====================================>...........................] 47/79   Step: 964ms | Tot: 45s597ms | Loss: 0.017 | Acc: 99.809% (12009/12032)              
 [======================================>..........................] 48/79   Step: 968ms | Tot: 46s565ms | Loss: 0.016 | Acc: 99.813% (12265/12288)              
 [=======================================>.........................] 49/79   Step: 981ms | Tot: 47s547ms | Loss: 0.016 | Acc: 99.809% (12520/12544)              
 [========================================>........................] 50/79   Step: 1s65ms | Tot: 48s613ms | Loss: 0.016 | Acc: 99.805% (12775/12800)              
 [=========================================>.......................] 51/79   Step: 966ms | Tot: 49s579ms | Loss: 0.016 | Acc: 99.809% (13031/13056)              
 [=========================================>.......................] 52/79   Step: 964ms | Tot: 50s543ms | Loss: 0.016 | Acc: 99.812% (13287/13312)              
 [==========================================>......................] 53/79   Step: 961ms | Tot: 51s505ms | Loss: 0.016 | Acc: 99.816% (13543/13568)              
 [===========================================>.....................] 54/79   Step: 965ms | Tot: 52s471ms | Loss: 0.016 | Acc: 99.819% (13799/13824)              
 [============================================>....................] 55/79   Step: 1s69ms | Tot: 53s540ms | Loss: 0.016 | Acc: 99.822% (14055/14080)              
 [=============================================>...................] 56/79   Step: 963ms | Tot: 54s503ms | Loss: 0.016 | Acc: 99.826% (14311/14336)              
 [==============================================>..................] 57/79   Step: 965ms | Tot: 55s469ms | Loss: 0.016 | Acc: 99.822% (14566/14592)              
 [==============================================>..................] 58/79   Step: 967ms | Tot: 56s437ms | Loss: 0.016 | Acc: 99.811% (14820/14848)              
 [===============================================>.................] 59/79   Step: 987ms | Tot: 57s424ms | Loss: 0.016 | Acc: 99.815% (15076/15104)              
 [================================================>................] 60/79   Step: 1s66ms | Tot: 58s491ms | Loss: 0.016 | Acc: 99.818% (15332/15360)              
 [=================================================>...............] 61/79   Step: 965ms | Tot: 59s456ms | Loss: 0.016 | Acc: 99.821% (15588/15616)              
 [==================================================>..............] 62/79   Step: 966ms | Tot: 1m423ms | Loss: 0.016 | Acc: 99.824% (15844/15872)              
 [===================================================>.............] 63/79   Step: 971ms | Tot: 1m1s | Loss: 0.015 | Acc: 99.826% (16100/16128)              
 [===================================================>.............] 64/79   Step: 964ms | Tot: 1m2s | Loss: 0.015 | Acc: 99.829% (16356/16384)              
 [====================================================>............] 65/79   Step: 1s62ms | Tot: 1m3s | Loss: 0.015 | Acc: 99.820% (16610/16640)              
 [=====================================================>...........] 66/79   Step: 965ms | Tot: 1m4s | Loss: 0.015 | Acc: 99.822% (16866/16896)              
 [======================================================>..........] 67/79   Step: 964ms | Tot: 1m5s | Loss: 0.015 | Acc: 99.819% (17121/17152)              
 [=======================================================>.........] 68/79   Step: 967ms | Tot: 1m6s | Loss: 0.015 | Acc: 99.822% (17377/17408)              
 [=======================================================>.........] 69/79   Step: 1s80ms | Tot: 1m7s | Loss: 0.015 | Acc: 99.825% (17633/17664)              
 [========================================================>........] 70/79   Step: 965ms | Tot: 1m8s | Loss: 0.015 | Acc: 99.827% (17889/17920)              
 [=========================================================>.......] 71/79   Step: 965ms | Tot: 1m9s | Loss: 0.015 | Acc: 99.829% (18145/18176)              
 [==========================================================>......] 72/79   Step: 967ms | Tot: 1m10s | Loss: 0.015 | Acc: 99.832% (18401/18432)              
 [===========================================================>.....] 73/79   Step: 968ms | Tot: 1m11s | Loss: 0.015 | Acc: 99.834% (18657/18688)              
 [============================================================>....] 74/79   Step: 1s62ms | Tot: 1m12s | Loss: 0.015 | Acc: 99.836% (18913/18944)              
 [============================================================>....] 75/79   Step: 870ms | Tot: 1m13s | Loss: 0.015 | Acc: 99.839% (19169/19200)              
 [=============================================================>...] 76/79   Step: 853ms | Tot: 1m14s | Loss: 0.015 | Acc: 99.836% (19424/19456)              
 [==============================================================>..] 77/79   Step: 853ms | Tot: 1m14s | Loss: 0.015 | Acc: 99.838% (19680/19712)              
 [===============================================================>.] 78/79   Step: 957ms | Tot: 1m15s | Loss: 0.015 | Acc: 99.840% (19936/19968)              
 [================================================================>] 79/79   Step: 859ms | Tot: 1m16s | Loss: 0.016 | Acc: 99.835% (19967/20000)
 [>................................................................] 1/40   Step: 1s107ms | Tot: 0ms | Loss: 1.233 | Acc: 71.094% (182/256)              
 [=>...............................................................] 2/40   Step: 418ms | Tot: 419ms | Loss: 1.205 | Acc: 73.242% (375/512)              
 [===>.............................................................] 3/40   Step: 422ms | Tot: 841ms | Loss: 1.290 | Acc: 71.224% (547/768)              
 [====>............................................................] 4/40   Step: 577ms | Tot: 1s418ms | Loss: 1.307 | Acc: 71.094% (728/1024)              
